day,tenant_id,tenant_name,plan,region,queries,storage_gb,compute_minutes,daily_spend
2026-03-05,t002,Hull-Hart,growth,us-east-1,3673,33.84,67.45,40.55
2026-03-06,t002,Hull-Hart,growth,us-east-1,2503,30.16,61.96,39.86
2026-03-07,t002,Hull-Hart,growth,us-east-1,2014,30.8,51.93,41.7
2026-03-08,t002,Hull-Hart,growth,us-east-1,2094,30.69,39.95,40.24
2026-03-09,t002,Hull-Hart,growth,us-east-1,3049,36.12,72.07,41.69
2026-03-10,t002,Hull-Hart,growth,us-east-1,3454,31.46,67.95,39.41
2026-03-11,t002,Hull-Hart,growth,us-east-1,2230,30.9,56.35,42.0
2026-03-12,t002,Hull-Hart,growth,us-east-1,2769,32.86,51.17,41.57
2026-03-13,t002,Hull-Hart,growth,us-east-1,2776,31.03,54.18,38.12
2026-03-14,t002,Hull-Hart,growth,us-east-1,1865,30.57,41.63,38.6
2026-03-15,t002,Hull-Hart,growth,us-east-1,1641,35.44,33.27,38.02
2026-03-16,t002,Hull-Hart,growth,us-east-1,3559,35.9,94.58,41.53
2026-03-17,t002,Hull-Hart,growth,us-east-1,3023,31.62,54.13,41.4
2026-03-18,t002,Hull-Hart,growth,us-east-1,3199,33.43,59.87,38.05
2026-03-19,t002,Hull-Hart,growth,us-east-1,3060,35.84,56.7,38.87
2026-03-20,t002,Hull-Hart,growth,us-east-1,3320,31.15,62.37,41.58
2026-03-21,t002,Hull-Hart,growth,us-east-1,1341,32.03,34.29,41.41
2026-03-22,t002,Hull-Hart,growth,us-east-1,1402,30.62,32.14,38.72
2026-03-23,t002,Hull-Hart,growth,us-east-1,3841,35.31,92.84,38.24
2026-03-24,t002,Hull-Hart,growth,us-east-1,2900,31.57,74.89,41.56
2026-03-25,t002,Hull-Hart,growth,us-east-1,2827,32.61,60.61,39.57
2026-03-26,t002,Hull-Hart,growth,us-east-1,2844,31.18,56.49,38.03
2026-03-27,t002,Hull-Hart,growth,us-east-1,2470,31.42,55.37,40.01
2026-03-28,t002,Hull-Hart,growth,us-east-1,1723,30.63,31.11,41.12
2026-03-29,t002,Hull-Hart,growth,us-east-1,1504,36.27,39.63,39.66
2026-03-30,t002,Hull-Hart,growth,us-east-1,3436,33.78,69.51,39.02
2026-03-31,t002,Hull-Hart,growth,us-east-1,3000,34.22,75.81,38.58
2026-04-01,t002,Hull-Hart,growth,us-east-1,3069,30.54,59.8,41.95
2026-04-02,t002,Hull-Hart,growth,us-east-1,2109,34.39,49.2,39.38
2026-04-03,t002,Hull-Hart,growth,us-east-1,3046,32.28,60.93,38.48
2026-04-04,t002,Hull-Hart,growth,us-east-1,1224,30.28,25.48,39.15
2026-04-05,t002,Hull-Hart,growth,us-east-1,1518,32.27,31.06,41.74
2026-04-06,t002,Hull-Hart,growth,us-east-1,3176,34.34,73.93,40.82
2026-04-07,t002,Hull-Hart,growth,us-east-1,3653,31.55,87.2,41.55
2026-04-08,t002,Hull-Hart,growth,us-east-1,2199,31.55,41.3,41.39
2026-04-09,t002,Hull-Hart,growth,us-east-1,3294,30.29,66.26,40.18
2026-04-10,t002,Hull-Hart,growth,us-east-1,2629,35.25,47.02,40.13
2026-04-11,t002,Hull-Hart,growth,us-east-1,2030,30.49,50.55,38.45
2026-04-12,t002,Hull-Hart,growth,us-east-1,1635,32.17,40.64,39.62
2026-04-13,t002,Hull-Hart,growth,us-east-1,3349,36.32,75.42,38.1
2026-04-14,t002,Hull-Hart,growth,us-east-1,3831,36.44,70.34,38.61
2026-04-15,t002,Hull-Hart,growth,us-east-1,2117,36.04,39.45,40.25
2026-04-16,t002,Hull-Hart,growth,us-east-1,2546,32.61,56.47,39.67
2026-04-17,t002,Hull-Hart,growth,us-east-1,3604,34.78,91.72,40.04
2026-04-18,t002,Hull-Hart,growth,us-east-1,1495,32.09,35.64,39.81
2026-04-19,t002,Hull-Hart,growth,us-east-1,1226,35.52,31.16,41.68
2026-04-20,t002,Hull-Hart,growth,us-east-1,3320,36.31,74.2,39.73
2026-04-21,t002,Hull-Hart,growth,us-east-1,2778,34.85,62.54,39.15
2026-04-22,t002,Hull-Hart,growth,us-east-1,2145,31.63,49.54,39.26
2026-04-23,t002,Hull-Hart,growth,us-east-1,2606,30.94,59.34,39.68
2026-04-24,t002,Hull-Hart,growth,us-east-1,3006,32.02,58.26,39.44
2026-04-25,t002,Hull-Hart,growth,us-east-1,1309,34.76,30.19,38.38
2026-04-26,t002,Hull-Hart,growth,us-east-1,1677,31.97,44.15,39.95
2026-04-27,t002,Hull-Hart,growth,us-east-1,3789,34.36,81.02,38.16
2026-04-28,t002,Hull-Hart,growth,us-east-1,3154,33.61,63.51,39.93
2026-04-29,t002,Hull-Hart,growth,us-east-1,3669,32.56,96.65,38.08
2026-04-30,t002,Hull-Hart,growth,us-east-1,3398,33.75,86.06,39.83
2026-05-01,t002,Hull-Hart,growth,us-east-1,3675,31.89,75.22,39.48
2026-05-02,t002,Hull-Hart,growth,us-east-1,2067,31.29,44.76,38.32
2026-05-03,t002,Hull-Hart,growth,us-east-1,1425,34.16,26.28,41.28
2026-05-04,t002,Hull-Hart,growth,us-east-1,2266,34.0,53.07,40.52
2026-05-05,t002,Hull-Hart,growth,us-east-1,3204,33.1,68.92,41.65
2026-05-06,t002,Hull-Hart,growth,us-east-1,3060,35.83,60.14,38.75
2026-05-07,t002,Hull-Hart,growth,us-east-1,3266,36.29,69.59,39.4
2026-05-08,t002,Hull-Hart,growth,us-east-1,3852,31.74,77.11,40.64
2026-05-09,t002,Hull-Hart,growth,us-east-1,1573,35.22,28.67,40.14
2026-05-10,t002,Hull-Hart,growth,us-east-1,1751,31.98,36.58,38.15
2026-05-11,t002,Hull-Hart,growth,us-east-1,3876,36.24,77.04,38.21
2026-05-12,t002,Hull-Hart,growth,us-east-1,2425,32.36,58.96,40.58
2026-05-13,t002,Hull-Hart,growth,us-east-1,2901,32.89,67.34,41.2
2026-05-14,t002,Hull-Hart,growth,us-east-1,2411,31.96,47.64,40.61
2026-05-15,t002,Hull-Hart,growth,us-east-1,2616,30.54,65.34,40.92
2026-05-16,t002,Hull-Hart,growth,us-east-1,1340,35.87,28.83,40.77
2026-05-17,t002,Hull-Hart,growth,us-east-1,1952,30.59,51.39,38.57
2026-05-18,t002,Hull-Hart,growth,us-east-1,2412,31.0,54.89,40.84
2026-05-19,t002,Hull-Hart,growth,us-east-1,3098,31.03,80.85,39.1
2026-05-20,t002,Hull-Hart,growth,us-east-1,2964,34.81,55.82,39.18
2026-05-21,t002,Hull-Hart,growth,us-east-1,3429,31.94,83.44,40.52
2026-05-22,t002,Hull-Hart,growth,us-east-1,2207,33.48,58.41,40.15
2026-05-23,t002,Hull-Hart,growth,us-east-1,1585,35.75,32.29,41.1
2026-05-24,t002,Hull-Hart,growth,us-east-1,1258,32.63,31.74,38.91
2026-05-25,t002,Hull-Hart,growth,us-east-1,2926,33.99,55.91,40.41
2026-05-26,t002,Hull-Hart,growth,us-east-1,3453,33.5,63.46,38.85
2026-05-27,t002,Hull-Hart,growth,us-east-1,2856,35.94,53.76,40.93
2026-05-28,t002,Hull-Hart,growth,us-east-1,2216,34.22,50.98,40.7
2026-05-29,t002,Hull-Hart,growth,us-east-1,3881,35.23,71.77,40.26
2026-05-30,t002,Hull-Hart,growth,us-east-1,1753,31.15,43.64,41.74
2026-05-31,t002,Hull-Hart,growth,us-east-1,2134,33.82,40.53,41.89
2026-06-01,t002,Hull-Hart,growth,us-east-1,2640,30.32,52.34,41.94
2026-06-02,t002,Hull-Hart,growth,us-east-1,3259,30.74,61.81,41.24
2026-06-03,t002,Hull-Hart,growth,us-east-1,3149,33.41,57.68,40.91
2026-06-04,t002,Hull-Hart,growth,us-east-1,3240,33.39,67.17,39.51
2026-06-05,t002,Hull-Hart,growth,us-east-1,3830,33.71,98.91,39.74
2026-06-06,t002,Hull-Hart,growth,us-east-1,1259,32.97,28.63,40.94
2026-06-07,t002,Hull-Hart,growth,us-east-1,1925,36.53,35.04,40.92
2026-06-08,t002,Hull-Hart,growth,us-east-1,3354,33.68,79.48,39.23
2026-06-09,t002,Hull-Hart,growth,us-east-1,3832,30.76,92.17,39.91
2026-06-10,t002,Hull-Hart,growth,us-east-1,2726,30.07,70.37,38.29
2026-06-11,t002,Hull-Hart,growth,us-east-1,3125,31.58,67.19,38.32
2026-06-12,t002,Hull-Hart,growth,us-east-1,3468,32.38,73.11,39.17
2026-06-13,t002,Hull-Hart,growth,us-east-1,1346,33.61,27.01,39.35
2026-06-14,t002,Hull-Hart,growth,us-east-1,2119,35.48,54.77,39.78
2026-06-15,t002,Hull-Hart,growth,us-east-1,3104,32.97,68.16,38.24
2026-06-16,t002,Hull-Hart,growth,us-east-1,2571,35.47,61.28,40.38
2026-06-17,t002,Hull-Hart,growth,us-east-1,3030,36.36,69.03,41.03
2026-06-18,t002,Hull-Hart,growth,us-east-1,3415,33.17,77.37,40.03
2026-06-19,t002,Hull-Hart,growth,us-east-1,3420,30.97,88.35,40.01
2026-06-20,t002,Hull-Hart,growth,us-east-1,1778,36.05,40.11,38.99
2026-06-21,t002,Hull-Hart,growth,us-east-1,1757,34.57,42.82,40.31
2026-06-22,t002,Hull-Hart,growth,us-east-1,3327,33.61,80.97,38.73
2026-06-23,t002,Hull-Hart,growth,us-east-1,3662,30.1,87.52,41.42
2026-06-24,t002,Hull-Hart,growth,us-east-1,3348,33.92,88.6,41.98
2026-06-25,t002,Hull-Hart,growth,us-east-1,2201,33.41,41.99,40.41
2026-06-26,t002,Hull-Hart,growth,us-east-1,2452,34.99,54.92,38.91
2026-06-27,t002,Hull-Hart,growth,us-east-1,1562,30.32,39.76,39.04
2026-06-28,t002,Hull-Hart,growth,us-east-1,1841,35.94,44.3,40.97
2026-06-29,t002,Hull-Hart,growth,us-east-1,3342,36.31,87.04,39.91
2026-06-30,t002,Hull-Hart,growth,us-east-1,3023,33.04,75.97,40.64
2026-03-03,t003,Bates-Robbins,enterprise,eu-central-1,18218,219.6,324.58,187.33
2026-03-04,t003,Bates-Robbins,enterprise,eu-central-1,18564,210.92,373.42,171.83
2026-03-05,t003,Bates-Robbins,enterprise,eu-central-1,18091,219.48,457.78,175.78
2026-03-06,t003,Bates-Robbins,enterprise,eu-central-1,22052,196.2,415.77,188.12
2026-03-07,t003,Bates-Robbins,enterprise,eu-central-1,11178,185.73,215.31,175.28
2026-03-08,t003,Bates-Robbins,enterprise,eu-central-1,10209,199.8,185.59,174.18
2026-03-09,t003,Bates-Robbins,enterprise,eu-central-1,16064,213.91,423.87,188.35
2026-03-10,t003,Bates-Robbins,enterprise,eu-central-1,16065,197.82,409.37,172.68
2026-03-11,t003,Bates-Robbins,enterprise,eu-central-1,17202,193.3,419.15,175.15
2026-03-12,t003,Bates-Robbins,enterprise,eu-central-1,21796,214.74,485.36,175.45
2026-03-13,t003,Bates-Robbins,enterprise,eu-central-1,20143,195.69,471.28,175.38
2026-03-14,t003,Bates-Robbins,enterprise,eu-central-1,12559,197.32,258.52,174.51
2026-03-15,t003,Bates-Robbins,enterprise,eu-central-1,10339,203.85,224.88,188.22
2026-03-16,t003,Bates-Robbins,enterprise,eu-central-1,18422,186.98,334.58,184.91
2026-03-17,t003,Bates-Robbins,enterprise,eu-central-1,18848,193.76,379.14,185.12
2026-03-18,t003,Bates-Robbins,enterprise,eu-central-1,18604,201.33,437.7,187.74
2026-03-19,t003,Bates-Robbins,enterprise,eu-central-1,20519,181.21,492.73,178.66
2026-03-20,t003,Bates-Robbins,enterprise,eu-central-1,21446,218.61,430.25,175.74
2026-03-21,t003,Bates-Robbins,enterprise,eu-central-1,12342,181.23,265.48,174.7
2026-03-22,t003,Bates-Robbins,enterprise,eu-central-1,7364,194.14,162.62,187.81
2026-03-23,t003,Bates-Robbins,enterprise,eu-central-1,20450,190.03,391.14,181.05
2026-03-24,t003,Bates-Robbins,enterprise,eu-central-1,22133,204.04,493.33,172.1
2026-03-25,t003,Bates-Robbins,enterprise,eu-central-1,18191,184.74,419.29,181.05
2026-03-26,t003,Bates-Robbins,enterprise,eu-central-1,21714,206.81,544.66,183.75
2026-03-27,t003,Bates-Robbins,enterprise,eu-central-1,22871,191.26,492.29,187.19
2026-03-28,t003,Bates-Robbins,enterprise,eu-central-1,7087,192.17,130.99,178.34
2026-03-29,t003,Bates-Robbins,enterprise,eu-central-1,9599,185.06,183.54,176.24
2026-03-30,t003,Bates-Robbins,enterprise,eu-central-1,21662,185.5,507.74,173.13
2026-03-31,t003,Bates-Robbins,enterprise,eu-central-1,13106,204.22,320.76,177.47
2026-04-01,t003,Bates-Robbins,enterprise,eu-central-1,13240,192.92,332.21,177.05
2026-04-02,t003,Bates-Robbins,enterprise,eu-central-1,15673,209.82,407.66,172.86
2026-04-03,t003,Bates-Robbins,enterprise,eu-central-1,12691,185.88,327.94,187.39
2026-04-04,t003,Bates-Robbins,enterprise,eu-central-1,12530,180.31,272.61,179.74
2026-04-05,t003,Bates-Robbins,enterprise,eu-central-1,7175,199.36,190.61,175.96
2026-04-06,t003,Bates-Robbins,enterprise,eu-central-1,13023,199.93,253.71,181.08
2026-04-07,t003,Bates-Robbins,enterprise,eu-central-1,20348,203.02,541.55,185.96
2026-04-08,t003,Bates-Robbins,enterprise,eu-central-1,22775,215.5,520.77,175.65
2026-04-09,t003,Bates-Robbins,enterprise,eu-central-1,20439,189.64,482.02,176.53
2026-04-10,t003,Bates-Robbins,enterprise,eu-central-1,14439,189.88,346.45,172.77
2026-04-11,t003,Bates-Robbins,enterprise,eu-central-1,9127,218.4,168.01,177.79
2026-04-12,t003,Bates-Robbins,enterprise,eu-central-1,7834,206.52,143.78,181.04
2026-04-13,t003,Bates-Robbins,enterprise,eu-central-1,16720,204.09,321.98,185.25
2026-04-14,t003,Bates-Robbins,enterprise,eu-central-1,19031,208.58,445.52,178.43
2026-04-15,t003,Bates-Robbins,enterprise,eu-central-1,13346,209.63,279.96,174.92
2026-04-16,t003,Bates-Robbins,enterprise,eu-central-1,14980,188.27,397.41,171.6
2026-04-17,t003,Bates-Robbins,enterprise,eu-central-1,12904,215.85,337.74,184.83
2026-04-18,t003,Bates-Robbins,enterprise,eu-central-1,10876,198.54,255.33,180.08
2026-04-19,t003,Bates-Robbins,enterprise,eu-central-1,10172,183.83,251.34,187.33
2026-04-20,t003,Bates-Robbins,enterprise,eu-central-1,15708,180.12,330.65,173.27
2026-04-21,t003,Bates-Robbins,enterprise,eu-central-1,21247,180.6,450.07,178.55
2026-04-22,t003,Bates-Robbins,enterprise,eu-central-1,16414,206.05,326.31,187.08
2026-04-23,t003,Bates-Robbins,enterprise,eu-central-1,15235,181.76,382.32,175.44
2026-04-24,t003,Bates-Robbins,enterprise,eu-central-1,16473,209.58,296.85,171.61
2026-04-25,t003,Bates-Robbins,enterprise,eu-central-1,8553,194.62,162.79,173.68
2026-04-26,t003,Bates-Robbins,enterprise,eu-central-1,8955,192.77,220.28,181.14
2026-04-27,t003,Bates-Robbins,enterprise,eu-central-1,21808,216.5,406.28,175.69
2026-04-28,t003,Bates-Robbins,enterprise,eu-central-1,14712,201.35,341.12,186.07
2026-04-29,t003,Bates-Robbins,enterprise,eu-central-1,19064,204.75,372.0,187.61
2026-04-30,t003,Bates-Robbins,enterprise,eu-central-1,17352,187.64,331.43,180.52
2026-05-01,t003,Bates-Robbins,enterprise,eu-central-1,19474,190.29,492.47,182.99
2026-05-02,t003,Bates-Robbins,enterprise,eu-central-1,6986,219.08,172.93,171.05
2026-05-03,t003,Bates-Robbins,enterprise,eu-central-1,12200,219.04,257.87,184.25
2026-05-04,t003,Bates-Robbins,enterprise,eu-central-1,21681,192.34,502.7,179.27
2026-05-05,t003,Bates-Robbins,enterprise,eu-central-1,15375,199.67,382.28,171.42
2026-05-06,t003,Bates-Robbins,enterprise,eu-central-1,16374,187.95,384.52,176.04
2026-05-07,t003,Bates-Robbins,enterprise,eu-central-1,13849,187.75,302.68,176.77
2026-05-08,t003,Bates-Robbins,enterprise,eu-central-1,23150,181.47,429.37,185.99
2026-05-09,t003,Bates-Robbins,enterprise,eu-central-1,10855,204.68,286.24,180.34
2026-05-10,t003,Bates-Robbins,enterprise,eu-central-1,8202,201.53,178.52,181.23
2026-05-11,t003,Bates-Robbins,enterprise,eu-central-1,16819,181.78,430.15,176.57
2026-05-12,t003,Bates-Robbins,enterprise,eu-central-1,16364,188.85,405.15,174.05
2026-05-13,t003,Bates-Robbins,enterprise,eu-central-1,17033,215.76,395.09,181.57
2026-05-14,t003,Bates-Robbins,enterprise,eu-central-1,18522,218.29,337.81,187.35
2026-05-15,t003,Bates-Robbins,enterprise,eu-central-1,20906,204.27,529.97,171.47
2026-05-16,t003,Bates-Robbins,enterprise,eu-central-1,8692,214.33,229.88,178.63
2026-05-17,t003,Bates-Robbins,enterprise,eu-central-1,9005,204.69,217.13,186.34
2026-05-18,t003,Bates-Robbins,enterprise,eu-central-1,13355,198.97,337.0,183.47
2026-05-19,t003,Bates-Robbins,enterprise,eu-central-1,16002,187.42,285.38,172.62
2026-05-20,t003,Bates-Robbins,enterprise,eu-central-1,16887,192.71,319.67,173.12
2026-05-21,t003,Bates-Robbins,enterprise,eu-central-1,13434,209.78,332.28,171.39
2026-05-22,t003,Bates-Robbins,enterprise,eu-central-1,14541,200.28,338.16,186.84
2026-05-23,t003,Bates-Robbins,enterprise,eu-central-1,11908,188.17,299.79,178.94
2026-05-24,t003,Bates-Robbins,enterprise,eu-central-1,7542,192.96,136.53,186.12
2026-05-25,t003,Bates-Robbins,enterprise,eu-central-1,16739,184.48,401.59,172.22
2026-05-26,t003,Bates-Robbins,enterprise,eu-central-1,20927,187.62,488.46,184.32
2026-05-27,t003,Bates-Robbins,enterprise,eu-central-1,19246,180.57,468.14,188.6
2026-05-28,t003,Bates-Robbins,enterprise,eu-central-1,13547,198.77,279.05,185.35
2026-05-29,t003,Bates-Robbins,enterprise,eu-central-1,22297,195.28,579.83,175.9
